3631.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | earthstar | lemon | lycaenid, lycaenid butterfly | jackfruit, jak, jack | daisy | pot, flowerpot
1004.jpg: chocolate sauce, chocolate syrup | book jacket, dust cover, dust jacket, dust wrapper | harmonica, mouth organ, harp, mouth harp | ice lolly, lolly, lollipop, popsicle | envelope | wallet, billfold, notecase, pocketbook | packet
4029.jpg: bagel, beigel | buckeye, horse chestnut, conker | snail | chocolate sauce, chocolate syrup | consomme | espresso | slug
2223.jpg: barn spider, Araneus cavaticus | earthstar | sulphur butterfly, sulfur butterfly | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | ringlet, ringlet butterfly | monarch, monarch butterfly, milkweed butterfly, Danaus plexippus | frilled lizard, Chlamydosaurus kingi
4551.jpg: maze, labyrinth | king penguin, Aptenodytes patagonica | kelpie | head cabbage | mosque | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | planetarium
1186.jpg: minivan | mobile home, manufactured home | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | street sign | tow truck, tow car, wrecker | trolleybus, trolley coach, trackless trolley | traffic light, traffic signal, stoplight
5420.jpg: mobile home, manufactured home | lakeside, lakeshore | flagpole, flagstaff | thatch, thatched roof | solar dish, solar collector, solar furnace | planetarium | boathouse
4142.jpg: monastery | palace | mobile home, manufactured home | patio, terrace | lakeside, lakeshore | mosque | flagpole, flagstaff
6766.jpg: moped | motor scooter, scooter | bicycle-built-for-two, tandem bicycle, tandem | typewriter keyboard | disk brake, disc brake | neck brace | revolver, six-gun, six-shooter
6094.jpg: limousine, limo | mobile home, manufactured home | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | minivan | trolleybus, trolley coach, trackless trolley | tow truck, tow car, wrecker | pickup, pickup truck
6280.jpg: sulphur butterfly, sulfur butterfly | earthstar | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | vase | bee | pot, flowerpot | daisy
2151.jpg: palace | cinema, movie theater, movie theatre, movie house, picture palace | mosque | restaurant, eating house, eating place, eatery | library | bookshop, bookstore, bookstall | vault
0158.jpg: lab coat, laboratory coat | pajama, pyjama, pj's, jammies | oboe, hautboy, hautbois | neck brace | potter's wheel | suit, suit of clothes | stethoscope
3360.jpg: jaguar, panther, Panthera onca, Felis onca | leopard, Panthera pardus | cheetah, chetah, Acinonyx jubatus | tiger, Panthera tigris | snow leopard, ounce, Panthera uncia | lynx, catamount | tiger cat
0791.jpg: daisy | earthstar | coral fungus | pot, flowerpot | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | sulphur butterfly, sulfur butterfly | bee
3218.jpg: prison, prison house | Petri dish | lab coat, laboratory coat | beaker | oxygen mask | barbell | neck brace
4355.jpg: airliner | projectile, missile | airship, dirigible | space shuttle | warplane, military plane | speedboat | missile
3481.jpg: chocolate sauce, chocolate syrup | trifle | hotdog, hot dog, red hot | meat loaf, meatloaf | breastplate, aegis, egis | space shuttle | ice lolly, lolly, lollipop, popsicle
3706.jpg: moped | mountain bike, all-terrain bike, off-roader | motor scooter, scooter | disk brake, disc brake | neck brace | bicycle-built-for-two, tandem bicycle, tandem | hair slide
6356.jpg: chocolate sauce, chocolate syrup | scabbard | killer whale, killer, orca, grampus, sea wolf, Orcinus orca | Loafer | bathtub, bathing tub, bath, tub | plate | ice cream, icecream
2749.jpg: chocolate sauce, chocolate syrup | ice cream, icecream | plate | meat loaf, meatloaf | trifle | bakery, bakeshop, bakehouse | consomme
5691.jpg: patio, terrace | thatch, thatched roof | monastery | solar dish, solar collector, solar furnace | tile roof | lakeside, lakeshore | mobile home, manufactured home
4224.jpg: cinema, movie theater, movie theatre, movie house, picture palace | mosque | palace | library | vault | window screen | flagpole, flagstaff
4249.jpg: street sign | trolleybus, trolley coach, trackless trolley | traffic light, traffic signal, stoplight | mobile home, manufactured home | passenger car, coach, carriage | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | recreational vehicle, RV, R.V.
5008.jpg: chocolate sauce, chocolate syrup | bakery, bakeshop, bakehouse | meat loaf, meatloaf | trifle | plate | ice cream, icecream | candle, taper, wax light
3966.jpg: earthstar | sulphur butterfly, sulfur butterfly | daisy | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | rapeseed | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | hip, rose hip, rosehip
3224.jpg: ear, spike, capitulum | corn | African chameleon, Chamaeleo chamaeleon | long-horned beetle, longicorn, longicorn beetle | titi, titi monkey | custard apple | cauliflower
3146.jpg: dugong, Dugong dugon | swimming trunks, bathing trunks | electric ray, crampfish, numbfish, torpedo | bathing cap, swimming cap | stinkhorn, carrion fungus | sea slug, nudibranch | gyromitra
2141.jpg: spatula | plate | letter opener, paper knife, paperknife | chocolate sauce, chocolate syrup | hair slide | meat loaf, meatloaf | dough
5064.jpg: tench, Tinca tinca | American lobster, Northern lobster, Maine lobster, Homarus americanus | terrapin | seat belt, seatbelt | neck brace | polecat, fitch, foulmart, foumart, Mustela putorius | king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica
3634.jpg: earthstar | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | sulphur butterfly, sulfur butterfly | jackfruit, jak, jack | gyromitra | daisy | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
3822.jpg: crash helmet | sports car, sport car | mountain bike, all-terrain bike, off-roader | ski | moped | go-kart | motor scooter, scooter
2695.jpg: mosque | planetarium | monastery | flagpole, flagstaff | prison, prison house | mobile home, manufactured home | cinema, movie theater, movie theatre, movie house, picture palace
3768.jpg: monastery | palace | thatch, thatched roof | lakeside, lakeshore | tile roof | boathouse | mobile home, manufactured home
6128.jpg: airliner | space shuttle | wing | warplane, military plane | aircraft carrier, carrier, flattop, attack aircraft carrier | airship, dirigible | projectile, missile
6091.jpg: moped | motor scooter, scooter | tricycle, trike, velocipede | snowmobile | crash helmet | disk brake, disc brake | sports car, sport car
6184.jpg: earthstar | daisy | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | stinkhorn, carrion fungus | coral fungus | gyromitra | buckeye, horse chestnut, conker
1605.jpg: minivan | street sign | traffic light, traffic signal, stoplight | trolleybus, trolley coach, trackless trolley | tow truck, tow car, wrecker | passenger car, coach, carriage | mobile home, manufactured home
2496.jpg: airship, dirigible | hand blower, blow dryer, blow drier, hair dryer, hair drier | iron, smoothing iron | can opener, tin opener | whiskey jug | mousetrap | airliner
6587.jpg: komondor | ram, tup | ox | kelpie | briard | Sealyham terrier, Sealyham | otterhound, otter hound
5576.jpg: moped | bicycle-built-for-two, tandem bicycle, tandem | motor scooter, scooter | sports car, sport car | mountain bike, all-terrain bike, off-roader | disk brake, disc brake | tricycle, trike, velocipede
4823.jpg: monastery | mosque | palace | bell cote, bell cot | vault | triumphal arch | prison, prison house
0761.jpg: laptop, laptop computer | American lobster, Northern lobster, Maine lobster, Homarus americanus | plane, carpenter's plane, woodworking plane | slide rule, slipstick | barracouta, snoek | comic book | king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica
4367.jpg: dome | palace | monastery | vault | planetarium | triumphal arch | bell cote, bell cot
6310.jpg: moped | motor scooter, scooter | bicycle-built-for-two, tandem bicycle, tandem | disk brake, disc brake | jinrikisha, ricksha, rickshaw | tricycle, trike, velocipede | crash helmet
6630.jpg: pot, flowerpot | ear, spike, capitulum | daisy | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | earthstar | cardoon | pineapple, ananas
